MASHONALAND EAST PROVINCE :2018 HARMONISED PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,FACILITY,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive Party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Chikomba,Chikomba East  ,Chikomba RDC,26,Mudoti St Faith Primary School,1800CHIK2604,2,46,2,0,0,1,1,0,0,0,0,0,1,0,128,0,0,3,1,1,0,0,1,2,0,189,187
Chikomba,Chikomba East  ,Chikomba RDC,26,Mupatsi Primary School,1800CHIK2605,1,55,1,1,0,0,6,1,0,0,0,0,0,0,99,0,0,0,7,1,0,1,1,1,0,175,174
Chikomba,Chikomba East  ,Chikomba RDC,26,Nzuma St Helen Primary School,1800CHIK2606,2,76,1,0,0,0,0,1,0,0,0,0,0,0,160,2,0,0,1,0,0,1,0,10,0,254,244
,,,,6 Polling Stations,WARD TOTAL,16,524,9,2,1,2,9,12,0,1,0,0,2,0,1022,4,2,6,20,2,1,2,2,36,0,"1,675","1,639"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikomba,Chikomba East  ,Chikomba RDC,27,Chimowa Primary School,1800CHIK2701,2,156,2,0,0,2,1,3,0,0,0,0,0,0,194,3,0,0,3,0,0,0,2,8,0,376,368
Chikomba,Chikomba East  ,Chikomba RDC,27,Mangoro Primary School,1800CHIK2702,4,197,3,1,0,4,1,12,0,0,0,0,0,0,370,3,0,5,3,1,0,0,2,8,0,614,606
Chikomba,Chikomba East  ,Chikomba RDC,27,Mutengwa Primary School,1800CHIK2703,3,52,0,0,0,2,0,2,0,1,0,0,0,0,106,1,0,0,1,1,0,0,0,1,0,170,169
Chikomba,Chikomba East  ,Chikomba RDC,27,Mutevere Primary School,1800CHIK2704,2,137,9,1,0,2,2,11,0,0,0,0,0,0,251,4,1,0,7,1,0,1,3,8,0,440,432
Chikomba,Chikomba East  ,Chikomba RDC,27,Mhari Secondary School,1800CHIK2705,0,201,1,1,0,1,0,7,0,0,1,0,0,1,354,5,1,2,1,0,1,0,2,20,0,599,579
,,,,5 Polling Stations,WARD TOTAL,11,743,15,3,0,11,4,35,0,1,1,0,0,1,1275,16,2,7,15,3,1,1,9,45,0,"2,199","2,154"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikomba,Chikomba East  ,Chikomba RDC,28,Shumba Business Centre Tent,1800CHIK2801,12,193,4,0,1,4,4,11,0,0,2,0,0,1,482,3,0,2,7,0,2,1,3,9,0,741,732
Chikomba,Chikomba East  ,Chikomba RDC,28,Svinurai St Clara Primary School,1800CHIK2802,1,146,1,0,0,2,1,6,1,1,1,0,1,0,238,1,0,0,4,0,0,2,1,2,0,409,407
,,,,2  Polling Stations,WARD TOTAL,13,339,5,0,1,6,5,17,1,1,3,0,1,1,720,4,0,2,11,0,2,3,4,11,0,"1,150","1,139"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikomba,Chikomba East  ,Chikomba RDC,29,Chisangano Primary School,1800CHIK2901,7,192,3,0,0,1,0,9,0,0,0,0,2,1,314,4,2,1,1,3,0,2,0,6,0,548,542
Chikomba,Chikomba East  ,Chikomba RDC,29,Jeche Primary School,1800CHIK2902,2,39,1,0,0,0,0,0,0,0,0,0,0,0,58,0,0,1,1,0,0,0,0,1,0,103,102
Chikomba,Chikomba East  ,Chikomba RDC,29,Maware Primary School,1800CHIK2903,4,180,4,0,0,2,0,11,0,0,0,2,0,0,296,0,0,0,7,0,0,0,0,7,0,513,506
Chikomba,Chikomba East  ,Chikomba RDC,29,Mufudziwakanaka Primary School,1800CHIK2904,6,80,2,0,0,4,1,2,0,0,3,0,0,0,373,0,0,0,0,1,0,0,2,9,0,483,474
Chikomba,Chikomba East  ,Chikomba RDC,29,Mungurawu Primary School,1800CHIK2905,2,65,1,0,0,1,1,5,0,0,1,0,0,0,100,1,0,0,0,2,0,0,0,2,0,181,179
,,,,5 Polling Stations,WARD TOTAL,21,556,11,0,0,8,2,27,0,0,4,2,2,1,1141,5,2,2,9,6,0,2,2,25,0,"1,828","1,803"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikomba,Chikomba East  ,Chikomba RDC,30,Bimha Primary School,1800CHIK3001,3,119,1,0,2,5,0,3,0,1,0,0,0,0,201,0,1,0,1,1,0,1,0,6,0,345,339
Chikomba,Chikomba East  ,Chikomba RDC,30,Matove Primary School,1800CHIK3002,1,126,3,0,0,3,3,1,1,1,0,0,0,0,330,0,0,1,1,0,2,0,0,4,0,477,473
Chikomba,Chikomba East  ,Chikomba RDC,30,Mushipe Secondary School,1800CHIK3003,3,157,1,0,0,1,4,6,0,0,0,0,0,0,297,2,0,1,2,0,1,0,2,9,0,486,477
,,,,3 Polling Stations,WARD TOTAL,7,402,5,0,2,9,7,10,1,2,0,0,0,0,828,2,1,2,4,1,3,1,2,19,0,"1,308","1,289"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Chikomba East Constituency Total,,,95,"4,545",63,9,5,46,37,148,4,6,10,2,9,10,"6,761",53,8,29,119,16,11,12,28,199,0,"12,225","12,026"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikomba,Chikomba West  ,Chikomba RDC,1,Charter Estate Primary School,1800CHIK0101,2,54,0,0,0,0,1,0,1,0,0,0,0,0,339,1,0,0,3,2,0,0,0,2,0,405,403
Chikomba,Chikomba West  ,Chikomba RDC,1,Chikomba Primary School,1800CHIK0102,0,39,1,0,1,1,0,2,0,0,0,0,0,0,241,1,0,0,0,1,0,0,0,3,0,290,287
Chikomba,Chikomba West  ,Chikomba RDC,1,Pimbi Primary School,1800CHIK0103,0,54,1,0,0,0,0,1,0,0,0,0,0,0,198,0,0,0,1,0,0,0,0,0,0,255,255
Chikomba,Chikomba West  ,Chikomba RDC,1,Riversdale Primary School,1800CHIK0104,1,66,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,1,2,0,0,0,0,3,0,369,366
,,,,4 Polling Stations,WARD TOTAL,3,213,2,0,1,1,1,3,1,0,0,0,0,0,1074,2,0,1,6,3,0,0,0,8,0,"1,319","1,311"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikomba,Chikomba West  ,Chikomba RDC,2,Gandami Secondary School,1800CHIK0201,3,96,0,0,0,1,0,1,0,1,0,0,0,0,179,1,0,0,0,1,0,0,0,2,0,285,283
