MATABELELAND NORTH PROVINCE : 2018 HARMONISED PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING STATION CODE,Busha Joseph Makamba FreeZim Congress,"Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
,,,,,,,,,,,,,,BINGA NORTH CONSTITUENCY,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga North,Binga RDC,11,Chilelema Primary School,0600BGA1101,1,335,4,0,1,1,3,7,0,2,1,0,0,1,146,5,0,1,3,1,0,0,1,13,0,526,513
Binga,Binga North,Binga RDC,11,Clean Water Business Centre Tent,0600BGA1102,0,123,0,0,0,0,0,1,0,0,0,0,0,0,60,0,0,0,2,0,0,0,0,0,0,186,186
Binga,Binga North,Binga RDC,11,Lubu Primary School,0600BGA1103,2,356,2,0,0,0,3,2,0,1,1,0,0,1,133,2,0,1,14,0,0,1,0,23,0,542,519
Binga,Binga North,Binga RDC,11,Mansenya Primary School,0600BGA1104,0,161,1,0,0,0,0,5,0,0,0,1,0,0,195,3,0,0,0,0,1,0,1,15,0,383,368
,,,,4 POLLING STATIONS,WARD TOTAL,3,975,7,0,1,1,6,15,0,3,2,1,0,2,534,10,0,2,19,1,1,1,2,51,0,1637,1586
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga North,Binga RDC,12,Maacha Primary School,0600BGA1201,5,175,1,0,0,1,1,3,0,0,0,0,0,1,27,3,0,0,1,0,1,1,0,11,0,231,220
Binga,Binga North,Binga RDC,12,Muchesu Primary School,0600BGA1202,3,449,1,0,1,1,0,10,1,0,2,0,0,0,297,2,1,0,1,0,0,3,2,17,0,791,774
Binga,Binga North,Binga RDC,12,Manchinga Pre-School Tent,0600BGA1203,3,168,1,0,2,3,0,3,0,0,0,0,1,0,97,2,0,1,2,0,0,2,0,16,0,301,285
,,,,3 POLLING STATIONS,WARD TOTAL,11,792,3,0,3,5,1,16,1,0,2,0,1,1,421,7,1,1,4,0,1,6,2,44,0,1323,1279
