"MANICALAND PROVINCE :2018 HARMONISED PRESIDENTIAL ELECTION RESULTS:30 JULY  2018 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING STATION CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Buhera,Buhera North,Buhera RDC,8,St. Bernards Primary School,0700BUH0805,0,121,1,0,1,1,0,3,0,2,0,0,0,1,196,1,0,0,0,0,0,0,1,5,0,333,328
,,,, 5 POLLING STATIONS,Ward Total,5,521,5,0,1,3,1,9,2,2,0,2,0,1,1140,4,1,1,7,1,1,0,2,15,0,1724,1709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera North,Buhera RDC,9,Dorowa Mine Boston Hall,0700BUH0901,0,104,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,179,179
Buhera,Buhera North,Buhera RDC,9,Gunde Primary School,0700BUH0902,1,128,0,0,0,0,0,1,1,0,0,0,1,1,190,4,0,0,0,0,0,0,0,0,0,327,327
Buhera,Buhera North,Buhera RDC,9,Holy Family Primary School,0700BUH0903,1,36,1,0,1,0,0,0,0,0,0,0,0,0,104,0,0,0,1,0,0,0,0,2,0,146,144
Buhera,Buhera North,Buhera RDC,9,Mulena Supermarket Tent,0700BUH0904,0,109,0,0,1,0,0,1,0,0,0,0,0,0,193,2,0,0,0,0,0,1,0,1,0,308,307
Buhera,Buhera North,Buhera RDC,9,Save Business Centre Tent,0700BUH0905,1,143,0,0,1,0,0,2,0,0,1,0,0,0,147,0,0,0,1,0,0,0,1,1,0,298,297
Buhera,Buhera North,Buhera RDC,9,St Phillips Primary School,0700BUH0906,0,256,2,0,0,0,0,6,0,0,0,0,0,1,278,1,0,0,1,1,0,0,1,6,0,553,547
Buhera,Buhera North,Buhera RDC,9,St .Edward Primary School,0700BUH0907,2,109,2,0,0,0,1,4,0,0,0,0,0,0,301,1,0,0,1,0,0,0,0,3,0,424,421
